;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZN_title;Grant Kazan Independence;;;;;;;;;;;;x,,
gtfo_KZN_desc;We've had a good run, but it's time to end our rulership of Kazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAC_title;Grant Tzotzil Independence;;;;;;;;;;;;x,,
gtfo_LAC_desc;We've had a good run, but it's time to end our rulership of Tzotzil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAD_title;Grant Ladakh Independence;;;;;;;;;;;;x,,
gtfo_LAD_desc;We've had a good run, but it's time to end our rulership of Ladakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAT_title;Grant Latvia Independence;;;;;;;;;;;;x,,
gtfo_LAT_desc;We've had a good run, but it's time to end our rulership of Latvia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAU_title;Grant Lauenburg Independence;;;;;;;;;;;;x,,
gtfo_LAU_desc;We've had a good run, but it's time to end our rulership of Lauenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;x,,
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBG_title;Grant Limburg Independence;;;;;;;;;;;;x,,
gtfo_LBG_desc;We've had a good run, but it's time to end our rulership of Limburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBN_title;Grant Lebanon Independence;;;;;;;;;;;;x,,
gtfo_LBN_desc;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBY_title;Grant Libya Independence;;;;;;;;;;;;x,,
gtfo_LBY_desc;We've had a good run, but it's time to end our rulership of Libya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LDK_title;Grant Ladakh Independence;;;;;;;;;;;;x,,
gtfo_LDK_desc;We've had a good run, but it's time to end our rulership of Ladakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LDU_title;Grant Lundu Independence;;;;;;;;;;;;x,,
gtfo_LDU_desc;We've had a good run, but it's time to end our rulership of Lundu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LEI_title;Grant Leinster Independence;;;;;;;;;;;;x,,
gtfo_LEI_desc;We've had a good run, but it's time to end our rulership of Leinster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LEN_title;Grant Lenape Independence;;;;;;;;;;;;x,,
gtfo_LEN_desc;We've had a good run, but it's time to end our rulership of Lenape: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LEP_title;Grant Lepontia Independence;;;;;;;;;;;;x,,
gtfo_LEP_desc;We've had a good run, but it's time to end our rulership of Lepontia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LGB_title;Grant Longobardia Independence;;;;;;;;;;;;x,,
gtfo_LGB_desc;We've had a good run, but it's time to end our rulership of Longobardia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LGU_title;Grant Liguria Independence;;;;;;;;;;;;x,,
gtfo_LGU_desc;We've had a good run, but it's time to end our rulership of Liguria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LHJ_title;Grant Lahej Independence;;;;;;;;;;;;x,,
gtfo_LHJ_desc;We've had a good run, but it's time to end our rulership of Lahej: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIB_title;Grant Liberia Independence;;;;;;;;;;;;x,,
gtfo_LIB_desc;We've had a good run, but it's time to end our rulership of Liberia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIE_title;Grant Liechtenstein Independence;;;;;;;;;;;;x,,
gtfo_LIE_desc;We've had a good run, but it's time to end our rulership of Liechtenstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIG_title;Grant Liege Independence;;;;;;;;;;;;x,,
gtfo_LIG_desc;We've had a good run, but it's time to end our rulership of Liege: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIP_title;Grant Lippe-Detmold Independence;;;;;;;;;;;;x,,
gtfo_LIP_desc;We've had a good run, but it's time to end our rulership of Lippe-Detmold: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIT_title;Grant Lithuania Independence;;;;;;;;;;;;x,,
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIV_title;Grant Livonian Order Independence;;;;;;;;;;;;x,,
gtfo_LIV_desc;We've had a good run, but it's time to end our rulership of Livonian Order: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNB_title;Grant Luneburg Independence;;;;;;;;;;;;x,,
gtfo_LNB_desc;We've had a good run, but it's time to end our rulership of Luneburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNG_title;Grant Liang Independence;;;;;;;;;;;;x,,
gtfo_LNG_desc;We've had a good run, but it's time to end our rulership of Liang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOA_title;Grant Loango Independence;;;;;;;;;;;;x,,
gtfo_LOA_desc;We've had a good run, but it's time to end our rulership of Loango: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOR_title;Grant Lorraine Independence;;;;;;;;;;;;x,,
gtfo_LOR_desc;We've had a good run, but it's time to end our rulership of Lorraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOS_title;Grant Los Altos Independence;;;;;;;;;;;;x,,
gtfo_LOS_desc;We've had a good run, but it's time to end our rulership of Los Altos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOU_title;Grant Louisiana Independence;;;;;;;;;;;;x,,
gtfo_LOU_desc;We've had a good run, but it's time to end our rulership of Louisiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LPL_title;Grant La Plata Independence;;;;;;;;;;;;x,,
gtfo_LPL_desc;We've had a good run, but it's time to end our rulership of La Plata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LPN_title;Grant Lipan Independence;;;;;;;;;;;;x,,
gtfo_LPN_desc;We've had a good run, but it's time to end our rulership of Lipan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LSK_title;Grant Alaska Independence;;;;;;;;;;;;x,,
gtfo_LSK_desc;We've had a good run, but it's time to end our rulership of Alaska: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LTN_title;Grant LatinEmpire Independence;;;;;;;;;;;;x,,
gtfo_LTN_desc;We've had a good run, but it's time to end our rulership of LatinEmpire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUA_title;Grant Luang Prabang Independence;;;;;;;;;;;;x,,
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUB_title;Grant Lubeck Independence;;;;;;;;;;;;x,,
gtfo_LUB_desc;We've had a good run, but it's time to end our rulership of Lubeck: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUC_title;Grant Lucca Independence;;;;;;;;;;;;x,,
gtfo_LUC_desc;We've had a good run, but it's time to end our rulership of Lucca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;x,,
gtfo_LUN_desc;We've had a good run, but it's time to end our rulership of Lunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUX_title;Grant Luxembourg Independence;;;;;;;;;;;;x,,
gtfo_LUX_desc;We've had a good run, but it's time to end our rulership of Luxembourg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUZ_title;Grant Luzica Independence;;;;;;;;;;;;x,,
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Luzica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LVN_title;Grant Lombardy-Venice Independence;;;;;;;;;;;;x,,
gtfo_LVN_desc;We've had a good run, but it's time to end our rulership of Lombardy-Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LXA_title;Grant Lan Xang Independence;;;;;;;;;;;;x,,
gtfo_LXA_desc;We've had a good run, but it's time to end our rulership of Lan Xang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAD_title;Grant Madagascar Independence;;;;;;;;;;;;x,,
gtfo_MAD_desc;We've had a good run, but it's time to end our rulership of Madagascar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAG_title;Grant Magdeburg Independence;;;;;;;;;;;;x,,
gtfo_MAG_desc;We've had a good run, but it's time to end our rulership of Magdeburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAH_title;Grant Maharashtra Independence;;;;;;;;;;;;x,,
gtfo_MAH_desc;We've had a good run, but it's time to end our rulership of Maharashtra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAI_title;Grant Mainz Independence;;;;;;;;;;;;x,,
gtfo_MAI_desc;We've had a good run, but it's time to end our rulership of Mainz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAJ_title;Grant Majeerteen Independence;;;;;;;;;;;;x,,
gtfo_MAJ_desc;We've had a good run, but it's time to end our rulership of Majeerteen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAK_title;Grant Makran Independence;;;;;;;;;;;;x,,
gtfo_MAK_desc;We've had a good run, but it's time to end our rulership of Makran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAL_title;Grant Maluku Independence;;;;;;;;;;;;x,,
gtfo_MAL_desc;We've had a good run, but it's time to end our rulership of Maluku: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAN_title;Grant Manhattan Commune Independence;;;;;;;;;;;;x,,
gtfo_MAN_desc;We've had a good run, but it's time to end our rulership of Manhattan Commune: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAR_title;Grant Maharasthra Independence;;;;;;;;;;;;x,,
gtfo_MAR_desc;We've had a good run, but it's time to end our rulership of Maharasthra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAS_title;Grant Massina Independence;;;;;;;;;;;;x,,
gtfo_MAS_desc;We've had a good run, but it's time to end our rulership of Massina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAT_title;Grant Matabele Independence;;;;;;;;;;;;x,,
gtfo_MAT_desc;We've had a good run, but it's time to end our rulership of Matabele: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAU_title;Grant Mauritius Independence;;;;;;;;;;;;x,,
gtfo_MAU_desc;We've had a good run, but it's time to end our rulership of Mauritius: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAW_title;Grant Malwa Independence;;;;;;;;;;;;x,,
gtfo_MAW_desc;We've had a good run, but it's time to end our rulership of Malwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAY_title;Grant Maya Independence;;;;;;;;;;;;x,,
gtfo_MAY_desc;We've had a good run, but it's time to end our rulership of Maya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAZ_title;Grant Mazovia Independence;;;;;;;;;;;;x,,
gtfo_MAZ_desc;We've had a good run, but it's time to end our rulership of Mazovia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MBZ_title;Grant Bregenz Independence;;;;;;;;;;;;x,,
gtfo_MBZ_desc;We've had a good run, but it's time to end our rulership of Bregenz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCA_title;Grant Muisca Independence;;;;;;;;;;;;x,,
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Muisca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCD_title;Grant Macedonia Independence;;;;;;;;;;;;x,,
gtfo_MCD_desc;We've had a good run, but it's time to end our rulership of Macedonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCH_title;Grant Manchu Independence;;;;;;;;;;;;x,,
gtfo_MCH_desc;We've had a good run, but it's time to end our rulership of Manchu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCK_title;Grant Manchu Independence;;;;;;;;;;;;x,,
gtfo_MCK_desc;We've had a good run, but it's time to end our rulership of Manchu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDI_title;Grant Mogadishu Independence;;;;;;;;;;;;x,,
gtfo_MDI_desc;We've had a good run, but it's time to end our rulership of Mogadishu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDO_title;Grant Kham Independence;;;;;;;;;;;;x,,
gtfo_MDO_desc;We've had a good run, but it's time to end our rulership of Kham: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDV_title;Grant Moldova Independence;;;;;;;;;;;;x,,
gtfo_MDV_desc;We've had a good run, but it's time to end our rulership of Moldova: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEC_title;Grant Mecklenburg Independence;;;;;;;;;;;;x,,
gtfo_MEC_desc;We've had a good run, but it's time to end our rulership of Mecklenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MED_title;Grant Medri Bahri Independence;;;;;;;;;;;;x,,
gtfo_MED_desc;We've had a good run, but it's time to end our rulership of Medri Bahri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEI_title;Grant Saxe-Meiningen Independence;;;;;;;;;;;;x,,
gtfo_MEI_desc;We've had a good run, but it's time to end our rulership of Saxe-Meiningen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEM_title;Grant Memmingen Independence;;;;;;;;;;;;x,,
gtfo_MEM_desc;We've had a good run, but it's time to end our rulership of Memmingen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEN_title;Grant Mentese Independence;;;;;;;;;;;;x,,
gtfo_MEN_desc;We've had a good run, but it's time to end our rulership of Mentese: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEW_title;Grant Mewar Independence;;;;;;;;;;;;x,,
gtfo_MEW_desc;We've had a good run, but it's time to end our rulership of Mewar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEX_title;Grant Mexico Independence;;;;;;;;;;;;x,,
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Mexico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MFA_title;Grant Montferrat Independence;;;;;;;;;;;;x,,
gtfo_MFA_desc;We've had a good run, but it's time to end our rulership of Montferrat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MFY_title;Grant Mahafaly Independence;;;;;;;;;;;;x,,
gtfo_MFY_desc;We've had a good run, but it's time to end our rulership of Mahafaly: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGD_title;Grant Maguindanao Independence;;;;;;;;;;;;x,,
gtfo_MGD_desc;We've had a good run, but it's time to end our rulership of Maguindanao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGH_title;Grant Maghreb Independence;;;;;;;;;;;;x,,
gtfo_MGH_desc;We've had a good run, but it's time to end our rulership of Maghreb: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGL_title;Grant Mongolia Independence;;;;;;;;;;;;x,,
gtfo_MGL_desc;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHC_title;Grant Mahican Independence;;;;;;;;;;;;x,,
gtfo_MHC_desc;We've had a good run, but it's time to end our rulership of Mahican: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHR_title;Grant Mahra Independence;;;;;;;;;;;;x,,
gtfo_MHR_desc;We've had a good run, but it's time to end our rulership of Mahra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIA_title;Grant Khawitmau Independence;;;;;;;;;;;;x,,
gtfo_MIA_desc;We've had a good run, but it's time to end our rulership of Khawitmau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIK_title;Grant Mikmaq Independence;;;;;;;;;;;;x,,
gtfo_MIK_desc;We've had a good run, but it's time to end our rulership of Mikmaq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIR_title;Grant Merina Independence;;;;;;;;;;;;x,,
gtfo_MIR_desc;We've had a good run, but it's time to end our rulership of Merina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIX_title;Grant Mixtec Independence;;;;;;;;;;;;x,,
gtfo_MIX_desc;We've had a good run, but it's time to end our rulership of Mixtec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJP_title;Grant Majapahit Independence;;;;;;;;;;;;x,,
gtfo_MJP_desc;We've had a good run, but it's time to end our rulership of Majapahit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKA_title;Grant Makuria Independence;;;;;;;;;;;;x,,
gtfo_MKA_desc;We've had a good run, but it's time to end our rulership of Makuria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKN_title;Grant Mukriyan Independence;;;;;;;;;;;;x,,
gtfo_MKN_desc;We've had a good run, but it's time to end our rulership of Mukriyan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKS_title;Grant Makassar Independence;;;;;;;;;;;;x,,
gtfo_MKS_desc;We've had a good run, but it's time to end our rulership of Makassar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKU_title;Grant Makua Independence;;;;;;;;;;;;x,,
gtfo_MKU_desc;We've had a good run, but it's time to end our rulership of Makua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ML1_title;Grant Malindi Independence;;;;;;;;;;;;x,,
gtfo_ML1_desc;We've had a good run, but it's time to end our rulership of Malindi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLD_title;Grant Maldives Independence;;;;;;;;;;;;x,,
gtfo_MLD_desc;We've had a good run, but it's time to end our rulership of Maldives: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLH_title;Grant Mulhouse Independence;;;;;;;;;;;;x,,
gtfo_MLH_desc;We've had a good run, but it's time to end our rulership of Mulhouse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLI_title;Grant Mali Independence;;;;;;;;;;;;x,,
gtfo_MLI_desc;We've had a good run, but it's time to end our rulership of Mali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLS_title;Grant Maliseet Independence;;;;;;;;;;;;x,,
gtfo_MLS_desc;We've had a good run, but it's time to end our rulership of Maliseet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLT_title;Grant Malta Independence;;;;;;;;;;;;x,,
gtfo_MLT_desc;We've had a good run, but it's time to end our rulership of Malta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLW_title;Grant Maravi Independence;;;;;;;;;;;;x,,
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Maravi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLY_title;Grant Malaya Independence;;;;;;;;;;;;x,,
gtfo_MLY_desc;We've had a good run, but it's time to end our rulership of Malaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MMA_title;Grant Mong Mao Independence;;;;;;;;;;;;x,,
gtfo_MMA_desc;We've had a good run, but it's time to end our rulership of Mong Mao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MMI_title;Grant Miami Independence;;;;;;;;;;;;x,,
gtfo_MMI_desc;We've had a good run, but it's time to end our rulership of Miami: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MML_title;Grant Memelland Independence;;;;;;;;;;;;x,,
gtfo_MML_desc;We've had a good run, but it's time to end our rulership of Memelland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNC_title;Grant Monaco Independence;;;;;;;;;;;;x,,
gtfo_MNC_desc;We've had a good run, but it's time to end our rulership of Monaco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNG_title;Grant Mongo Independence;;;;;;;;;;;;x,,
gtfo_MNG_desc;We've had a good run, but it's time to end our rulership of Mongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNP_title;Grant Manipur Independence;;;;;;;;;;;;x,,
gtfo_MNP_desc;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNR_title;Grant Montserrat Independence;;;;;;;;;;;;x,,
gtfo_MNR_desc;We've had a good run, but it's time to end our rulership of Montserrat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNS_title;Grant IRE_Munster Independence;;;;;;;;;;;;x,,
gtfo_MNS_desc;We've had a good run, but it's time to end our rulership of IRE_Munster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNX_title;Grant Ming Independence;;;;;;;;;;;;x,,
gtfo_MNX_desc;We've had a good run, but it's time to end our rulership of Ming: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOD_title;Grant Modena Independence;;;;;;;;;;;;x,,
gtfo_MOD_desc;We've had a good run, but it's time to end our rulership of Modena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOE_title;Grant Morea Independence;;;;;;;;;;;;x,,
gtfo_MOE_desc;We've had a good run, but it's time to end our rulership of Morea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOL_title;Grant Moldavia Independence;;;;;;;;;;;;x,,
gtfo_MOL_desc;We've had a good run, but it's time to end our rulership of Moldavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MON_title;Grant Montenegro Independence;;;;;;;;;;;;x,,
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Montenegro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOR_title;Grant Morocco Independence;;;;;;;;;;;;x,,
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOS_title;Grant Mossi Independence;;;;;;;;;;;;x,,
gtfo_MOS_desc;We've had a good run, but it's time to end our rulership of Mossi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOZ_title;Grant Mozambique Independence;;;;;;;;;;;;x,,
gtfo_MOZ_desc;We've had a good run, but it's time to end our rulership of Mozambique: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPC_title;Grant Mapuche Independence;;;;;;;;;;;;x,,
gtfo_MPC_desc;We've had a good run, but it's time to end our rulership of Mapuche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRI_title;Grant Mori Independence;;;;;;;;;;;;x,,
gtfo_MRI_desc;We've had a good run, but it's time to end our rulership of Mori: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRL_title;Grant Morlacchia Independence;;;;;;;;;;;;x,,
gtfo_MRL_desc;We've had a good run, but it's time to end our rulership of Morlacchia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRT_title;Grant Marathas Independence;;;;;;;;;;;;x,,
gtfo_MRT_desc;We've had a good run, but it's time to end our rulership of Marathas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRU_title;Grant Maritime Union Independence;;;;;;;;;;;;x,,
gtfo_MRU_desc;We've had a good run, but it's time to end our rulership of Maritime Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSC_title;Grant Mescalero Independence;;;;;;;;;;;;x,,
gtfo_MSC_desc;We've had a good run, but it's time to end our rulership of Mescalero: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSG_title;Grant Mississage Independence;;;;;;;;;;;;x,,
gtfo_MSG_desc;We've had a good run, but it's time to end our rulership of Mississage: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSK_title;Grant Mosquito Coast Independence;;;;;;;;;;;;x,,
gtfo_MSK_desc;We've had a good run, but it's time to end our rulership of Mosquito Coast: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTA_title;Grant Mantua Independence;;;;;;;;;;;;x,,
gtfo_MTA_desc;We've had a good run, but it's time to end our rulership of Mantua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTC_title;Grant Metis Confederacy Independence;;;;;;;;;;;;x,,
gtfo_MTC_desc;We've had a good run, but it's time to end our rulership of Metis Confederacy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTL_title;Grant Matlatzinca Independence;;;;;;;;;;;;x,,
gtfo_MTL_desc;We've had a good run, but it's time to end our rulership of Matlatzinca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTQ_title;Grant Martinique Independence;;;;;;;;;;;;x,,
gtfo_MTQ_desc;We've had a good run, but it's time to end our rulership of Martinique: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTR_title;Grant Mataram Independence;;;;;;;;;;;;x,,
gtfo_MTR_desc;We've had a good run, but it's time to end our rulership of Mataram: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUG_title;Grant Mughalistan Independence;;;;;;;;;;;;x,,
gtfo_MUG_desc;We've had a good run, but it's time to end our rulership of Mughalistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUL_title;Grant Multan Independence;;;;;;;;;;;;x,,
gtfo_MUL_desc;We've had a good run, but it's time to end our rulership of Multan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUN_title;Grant Munster Independence;;;;;;;;;;;;x,,
gtfo_MUN_desc;We've had a good run, but it's time to end our rulership of Munster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUR_title;Grant Murom Independence;;;;;;;;;;;;x,,
gtfo_MUR_desc;We've had a good run, but it's time to end our rulership of Murom: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUS_title;Grant Muscovy Independence;;;;;;;;;;;;x,,
gtfo_MUS_desc;We've had a good run, but it's time to end our rulership of Muscovy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYR_title;Grant Yeren Independence;;;;;;;;;;;;x,,
gtfo_MYR_desc;We've had a good run, but it's time to end our rulership of Yeren: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYS_title;Grant Mysore Independence;;;;;;;;;;;;x,,
gtfo_MYS_desc;We've had a good run, but it's time to end our rulership of Mysore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAG_title;Grant Nagpur Independence;;;;;;;;;;;;x,,
gtfo_NAG_desc;We've had a good run, but it's time to end our rulership of Nagpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAH_title;Grant Navajo Independence;;;;;;;;;;;;x,,
gtfo_NAH_desc;We've had a good run, but it's time to end our rulership of Navajo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAK_title;Grant Nakawe Independence;;;;;;;;;;;;x,,
gtfo_NAK_desc;We've had a good run, but it's time to end our rulership of Nakawe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAL_title;Grant Natalia Independence;;;;;;;;;;;;x,,
gtfo_NAL_desc;We've had a good run, but it's time to end our rulership of Natalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAS_title;Grant Nassau Independence;;;;;;;;;;;;x,,
gtfo_NAS_desc;We've had a good run, but it's time to end our rulership of Nassau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAV_title;Grant Navarra Independence;;;;;;;;;;;;x,,
gtfo_NAV_desc;We've had a good run, but it's time to end our rulership of Navarra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAX_title;Grant Naxos Independence;;;;;;;;;;;;x,,
gtfo_NAX_desc;We've had a good run, but it's time to end our rulership of Naxos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NDO_title;Grant Ndongo Independence;;;;;;;;;;;;x,,
gtfo_NDO_desc;We've had a good run, but it's time to end our rulership of Ndongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NEH_title;Grant Neuchatel Canton Independence;;;;;;;;;;;;x,,
gtfo_NEH_desc;We've had a good run, but it's time to end our rulership of Neuchatel Canton: if you love something, let it go!;;;;;;;;;;;;x
